model,url,num_classes,input_size,pool_size,crop_pct,interpolation,mean,std,first_conv,classifier,has_aux,label_offset,architecture,min_input_size,fixed_input_size,test_input_size,hf_hub
cspdarknet53,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/cspdarknet53_ra_256-d05c7c21.pth,1000,"(3, 256, 256)","(8, 8)",0.887,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,cspdarknet53,,,,
cspdarknet53_iabn,,1000,"(3, 256, 256)","(8, 8)",0.887,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,cspdarknet53_iabn,,,,
cspresnet50,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/cspresnet50_ra-d3e8d487.pth,1000,"(3, 256, 256)","(8, 8)",0.887,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,cspresnet50,,,,
cspresnet50d,,1000,"(3, 256, 256)","(8, 8)",0.887,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,cspresnet50d,,,,
cspresnet50w,,1000,"(3, 256, 256)","(8, 8)",0.887,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,cspresnet50w,,,,
cspresnext50,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/cspresnext50_ra_224-648b4713.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,cspresnext50,,,,
cspresnext50_iabn,,1000,"(3, 256, 256)","(8, 8)",0.887,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,cspresnext50_iabn,,,,
darknet53,,1000,"(3, 256, 256)","(8, 8)",0.887,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,darknet53,,,,
deit_base_distilled_patch16_224,https://dl.fbaipublicfiles.com/deit/deit_base_distilled_patch16_224-df68dfff.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,"('head', 'head_dist')",,,deit_base_distilled_patch16_224,,True,,
deit_base_distilled_patch16_384,https://dl.fbaipublicfiles.com/deit/deit_base_distilled_patch16_384-d0272ac0.pth,1000,"(3, 384, 384)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,"('head', 'head_dist')",,,deit_base_distilled_patch16_384,,True,,
deit_base_patch16_224,https://dl.fbaipublicfiles.com/deit/deit_base_patch16_224-b5f2ef4d.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,deit_base_patch16_224,,True,,
deit_base_patch16_384,https://dl.fbaipublicfiles.com/deit/deit_base_patch16_384-8de9b5d1.pth,1000,"(3, 384, 384)",,1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,deit_base_patch16_384,,True,,
deit_small_distilled_patch16_224,https://dl.fbaipublicfiles.com/deit/deit_small_distilled_patch16_224-649709d9.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,"('head', 'head_dist')",,,deit_small_distilled_patch16_224,,True,,
deit_small_patch16_224,https://dl.fbaipublicfiles.com/deit/deit_small_patch16_224-cd65a155.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,deit_small_patch16_224,,True,,
deit_tiny_distilled_patch16_224,https://dl.fbaipublicfiles.com/deit/deit_tiny_distilled_patch16_224-b40b3cf7.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,"('head', 'head_dist')",,,deit_tiny_distilled_patch16_224,,True,,
deit_tiny_patch16_224,https://dl.fbaipublicfiles.com/deit/deit_tiny_patch16_224-a1311bcf.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.proj,head,,,deit_tiny_patch16_224,,True,,
densenet121,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/densenet121_ra-50efcf5c.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv0,classifier,,,densenet121,,,,
densenet121d,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv0,classifier,,,densenet121d,,,,
densenet161,https://download.pytorch.org/models/densenet161-8d451a50.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv0,classifier,,,densenet161,,,,
densenet169,https://download.pytorch.org/models/densenet169-b2777c0a.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv0,classifier,,,densenet169,,,,
densenet201,https://download.pytorch.org/models/densenet201-c1103571.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv0,classifier,,,densenet201,,,,
densenet264,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv0,classifier,,,densenet264,,,,
densenet264d_iabn,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv0,classifier,,,densenet264d_iabn,,,,
densenetblur121d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/densenetblur121d_ra-100dcfbc.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv0,classifier,,,densenetblur121d,,,,
dla34,http://dl.yf.io/dla/models/imagenet/dla34-ba72cf86.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla34,,,,
dla46_c,http://dl.yf.io/dla/models/imagenet/dla46_c-2bfd52c3.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla46_c,,,,
dla46x_c,http://dl.yf.io/dla/models/imagenet/dla46x_c-d761bae7.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla46x_c,,,,
dla60,http://dl.yf.io/dla/models/imagenet/dla60-24839fc4.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla60,,,,
dla60_res2net,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2net_dla60_4s-d88db7f9.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla60_res2net,,,,
dla60_res2next,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-res2net/res2next_dla60_4s-d327927b.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla60_res2next,,,,
dla60x,http://dl.yf.io/dla/models/imagenet/dla60x-d15cacda.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla60x,,,,
dla60x_c,http://dl.yf.io/dla/models/imagenet/dla60x_c-b870c45c.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla60x_c,,,,
dla102,http://dl.yf.io/dla/models/imagenet/dla102-d94d9790.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla102,,,,
dla102x,http://dl.yf.io/dla/models/imagenet/dla102x-ad62be81.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla102x,,,,
dla102x2,http://dl.yf.io/dla/models/imagenet/dla102x2-262837b6.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla102x2,,,,
dla169,http://dl.yf.io/dla/models/imagenet/dla169-0914e092.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",base_layer.0,fc,,,dla169,,,,
dm_nfnet_f0,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-dnf-weights/dm_nfnet_f0-604f9c3a.pth,1000,"(3, 192, 192)","(6, 6)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,dm_nfnet_f0,,,"(3, 256, 256)",
dm_nfnet_f1,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-dnf-weights/dm_nfnet_f1-fc540f82.pth,1000,"(3, 224, 224)","(7, 7)",0.91,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,dm_nfnet_f1,,,"(3, 320, 320)",
dm_nfnet_f2,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-dnf-weights/dm_nfnet_f2-89875923.pth,1000,"(3, 256, 256)","(8, 8)",0.92,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,dm_nfnet_f2,,,"(3, 352, 352)",
dm_nfnet_f3,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-dnf-weights/dm_nfnet_f3-d74ab3aa.pth,1000,"(3, 320, 320)","(10, 10)",0.94,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,dm_nfnet_f3,,,"(3, 416, 416)",
dm_nfnet_f4,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-dnf-weights/dm_nfnet_f4-0ac5b10b.pth,1000,"(3, 384, 384)","(12, 12)",0.951,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,dm_nfnet_f4,,,"(3, 512, 512)",
dm_nfnet_f5,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-dnf-weights/dm_nfnet_f5-ecb20ab1.pth,1000,"(3, 416, 416)","(13, 13)",0.954,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,dm_nfnet_f5,,,"(3, 544, 544)",
dm_nfnet_f6,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-dnf-weights/dm_nfnet_f6-e0f12116.pth,1000,"(3, 448, 448)","(14, 14)",0.956,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,dm_nfnet_f6,,,"(3, 576, 576)",
dpn68,https://github.com/rwightman/pytorch-dpn-pretrained/releases/download/v0.1/dpn68-66bebafa7.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.48627450980392156, 0.4588235294117647, 0.40784313725490196)","(0.23482446870963955, 0.23482446870963955, 0.23482446870963955)",features.conv1_1.conv,classifier,,,dpn68,,,,
dpn68b,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/dpn68b_ra-a31ca160.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",features.conv1_1.conv,classifier,,,dpn68b,,,,
dpn92,https://github.com/rwightman/pytorch-dpn-pretrained/releases/download/v0.1/dpn92_extra-b040e4a9b.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.48627450980392156, 0.4588235294117647, 0.40784313725490196)","(0.23482446870963955, 0.23482446870963955, 0.23482446870963955)",features.conv1_1.conv,classifier,,,dpn92,,,,
dpn98,https://github.com/rwightman/pytorch-dpn-pretrained/releases/download/v0.1/dpn98-5b90dec4d.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.48627450980392156, 0.4588235294117647, 0.40784313725490196)","(0.23482446870963955, 0.23482446870963955, 0.23482446870963955)",features.conv1_1.conv,classifier,,,dpn98,,,,
dpn107,https://github.com/rwightman/pytorch-dpn-pretrained/releases/download/v0.1/dpn107_extra-1ac7121e2.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.48627450980392156, 0.4588235294117647, 0.40784313725490196)","(0.23482446870963955, 0.23482446870963955, 0.23482446870963955)",features.conv1_1.conv,classifier,,,dpn107,,,,
dpn131,https://github.com/rwightman/pytorch-dpn-pretrained/releases/download/v0.1/dpn131-71dfe43e0.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.48627450980392156, 0.4588235294117647, 0.40784313725490196)","(0.23482446870963955, 0.23482446870963955, 0.23482446870963955)",features.conv1_1.conv,classifier,,,dpn131,,,,
eca_botnext26ts_256,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,eca_botnext26ts_256,"(3, 224, 224)",True,,
eca_efficientnet_b0,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,eca_efficientnet_b0,,,,
eca_halonext26ts,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,eca_halonext26ts,"(3, 256, 256)",False,,
eca_lambda_resnext26ts,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,eca_lambda_resnext26ts,"(3, 128, 128)",False,,
eca_nfnet_l0,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ecanfnet_l0_ra2-e3e9ac50.pth,1000,"(3, 224, 224)","(7, 7)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,eca_nfnet_l0,,,"(3, 288, 288)",timm/eca_nfnet_l0
eca_nfnet_l1,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ecanfnet_l1_ra2-7dce93cd.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,eca_nfnet_l1,,,"(3, 320, 320)",
eca_nfnet_l2,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ecanfnet_l2_ra3-da781a61.pth,1000,"(3, 320, 320)","(10, 10)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,eca_nfnet_l2,,,"(3, 384, 384)",
eca_nfnet_l3,,1000,"(3, 352, 352)","(11, 11)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,eca_nfnet_l3,,,"(3, 448, 448)",
eca_swinnext26ts_256,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,eca_swinnext26ts_256,"(3, 224, 224)",True,,
eca_vovnet39b,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,eca_vovnet39b,,,,
ecaresnet26t,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ecaresnet26t_ra2-46609757.pth,1000,"(3, 256, 256)","(8, 8)",0.95,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnet26t,,,"(3, 320, 320)",
ecaresnet50d,https://imvl-automl-sh.oss-cn-shanghai.aliyuncs.com/darts/hyperml/hyperml/job_45402/outputs/ECAResNet50D_833caf58.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnet50d,,,,
ecaresnet50d_pruned,https://imvl-automl-sh.oss-cn-shanghai.aliyuncs.com/darts/hyperml/hyperml/job_45899/outputs/ECAResNet50D_P_9c67f710.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnet50d_pruned,,,,
ecaresnet50t,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ecaresnet50t_ra2-f7ac63c4.pth,1000,"(3, 256, 256)","(8, 8)",0.95,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnet50t,,,"(3, 320, 320)",
ecaresnet101d,https://imvl-automl-sh.oss-cn-shanghai.aliyuncs.com/darts/hyperml/hyperml/job_45402/outputs/ECAResNet101D_281c5844.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnet101d,,,,
ecaresnet101d_pruned,https://imvl-automl-sh.oss-cn-shanghai.aliyuncs.com/darts/hyperml/hyperml/job_45610/outputs/ECAResNet101D_P_75a3370e.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnet101d_pruned,,,,
ecaresnet200d,,1000,"(3, 256, 256)","(8, 8)",0.94,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnet200d,,,,
ecaresnet269d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ecaresnet269d_320_ra2-7baa55cb.pth,1000,"(3, 320, 320)","(10, 10)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnet269d,,,"(3, 352, 352)",
ecaresnetlight,https://imvl-automl-sh.oss-cn-shanghai.aliyuncs.com/darts/hyperml/hyperml/job_45402/outputs/ECAResNetLight_4f34b35b.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,ecaresnetlight,,,,
ecaresnext26t_32x4d,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnext26t_32x4d,,,,
ecaresnext50t_32x4d,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,ecaresnext50t_32x4d,,,,
efficientnet_b0,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_b0_ra-3dd342df.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b0,,,,
efficientnet_b1,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_b1-533bc792.pth,1000,"(3, 224, 224)","(7, 7)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b1,,,"(3, 256, 256)",
efficientnet_b1_pruned,https://imvl-automl-sh.oss-cn-shanghai.aliyuncs.com/darts/hyperml/hyperml/job_45403/outputs/effnetb1_pruned_9ebb3fe6.pth,1000,"(3, 240, 240)","(8, 8)",0.882,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",conv_stem,classifier,,,efficientnet_b1_pruned,,,,
efficientnet_b2,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_b2_ra-bcdf34b7.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b2,,,"(3, 288, 288)",
efficientnet_b2_pruned,https://imvl-automl-sh.oss-cn-shanghai.aliyuncs.com/darts/hyperml/hyperml/job_45403/outputs/effnetb2_pruned_203f55bc.pth,1000,"(3, 260, 260)","(9, 9)",0.89,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",conv_stem,classifier,,,efficientnet_b2_pruned,,,,
efficientnet_b2a,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_b2_ra-bcdf34b7.pth,1000,"(3, 256, 256)","(8, 8)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b2,,,"(3, 288, 288)",
efficientnet_b3,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_b3_ra2-cf984f9c.pth,1000,"(3, 288, 288)","(9, 9)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b3,,,"(3, 320, 320)",
